Unknown speaker,Survivor,Sigsbee,Politicians,Military personnel ,Journalists,Experts,"196 context hits for ""public"" / ""opinion"""
,,,Undecided/Unclear,,,,"8 . VOL.12 . NO . an explanation . Mast of the members of the committee refused to express any opinion concerning the occur rence . `` It is too serious to tall , about at prosuit . '' said Senator"
,,Suspend Opinion,,,,,"THE SAILORS SLEPT Sigsbee Says Representatives of Blanco Are With Mini and Requests that Public Opinion Be Suspended Until Further and Fuller Reports Have Been Received Havana February 15 At a quarte"
,,Suspend Opinion,,,,,"rew Few pieces of equipment still above water No one has other clothes than those on him Public opinion should be suspended until further reports A l officers believed to be saved Jenkins anJ Jterrll"
,,Suspend Opinion,,,,,"tho captain leaves they are turned over to too official left in command Not laving full iutonna opinion ou tho tlon I cjn cot txprft my disaster Tiiniii oi ivnNs ov this cvir6n ok Tim mvsTEat UulUnni"
,,,,,,Attack,"HE WAR SPIRIT IS GROWING VERY RAPIDLY Many Army and Navy Officers Do Not Hesitate to Express an Opinion of Spains Rcsponslbilityaovcrnmcnt in Posses sion of Telegraph and Cable Lines to Havana AVnxli"
,,,,Undecided/Unclear,,,"17 Admiral Slc ard telegraphed Secretary lx > ng from Key West this afternoon as follows In the opinion of Lieutenant John Hood of tho Maine who bis Juat arrived from Havana tho Malno can never be ut"
Attack,,,,,,,"r n Work Neville Tin February 17 A tspe J the TimesUnion and Citizen from MtFia saysTho genernl opinion of Persons hero is that tho Maino was f torpedo after which tho magazine H In an interview with"
,Attack,,,,,,"t two distinct shocks The Moot as severe as the second which J the ship irvUors are of tho same opinion foul work 9Ja IUordan a submarine dlvpr at stand a survivor ot the Maino has graphed for from H"
Attack,,,,,,,"ge of heavy cannon or largo explosion CAUSED BY A SUBMARINE MINE j s I That Is the Concensus of Opinion in Havana Captain Sigsbee Is So Convinced New iorki JTebruary Wj A copyright cable the Jdfnns W"
,,,,,,Attack,"nns World from Sylvester JScovef under todays date of MayanS via Key West eays The consensus of opinion of ihose who hnyo studied the wreclt closest I noyf J that tbo fxploslpn wa caused bt a nubmarl"
Attack,,,,,,,"e of wlreB pn the night ot tlio litciihter with foiitPtiipt says H was nu nirident Corsensus of opinion lii llnrnna Is that a submarine mine caused the explosion Crfplnln Slgnbee and otliet officers"
,,Suspend Opinion,,,,,"w pieces ot equipment still above water . No one hud other clothes than those upon him . Public opinion should be suspended till further report . All officers believed to be saved . Jenkins and Merrl"
,,,Accident,,,,"ntil the cause of the disaster was ascertained . Senator Piatt of Connecticut , ex­ pressed the opinion that the explosion would be found to bo the result of an accident , from within , and he doubte"
,,,,Attack,,,"soon as a vessel visited Havana this great disaster should occur . Gen­ eral Butler was of the opinion that some bold man had gone aboard the Maine and placed a grenade with a slow match where it wo"
Accident,,,,,,,"sh his name used because of the meagreness of present information as to details , expressed the opinion that the accideut occurred from spontaneous combustion iu the coal bunkers , tbe heat of which"
,,,Accident,,,,"found impression at the capitot . Senators and members of the house , as a rule , expressed the opinion for publi­ cation that the catastrophe WAS the result of accident , and not of design , but the"
,,,Undecided/Unclear,,,,"effect that the affair looked very mysterious xnd doubtful . As a rule , senators expressed the opinion that the department would and should make thorough investigation , and added that for the prese"
,,Suspend Opinion,,,,,"ieces of equipment still abovo water . No one had other clothes than those upon him . `` Public opinion should be suspended till further report . `` All officers believed to be saved . Jen kins and M"
,,,,,,Undecided/Unclear,"of which tho horror , may bo justly viewed . Secretary Long undoubtedly summarized the central opinion of the majority of the naval experts in finding it Impossible just now to state the cause of th"
Undecided/Unclear,,,,,,,"ected that this work will take tome time , and while there are officers who say that . In their opinion , it will not be possible , owing to the probably dis rupted condition of the hull of the ship"
Undecided/Unclear,,,,,,,"bly dis rupted condition of the hull of the ship , to make out the cause of the explosion , tho opinion of the majority is that the question will be easily settled by the sim ple observation of the c"
Undecided/Unclear,,,,,,,"cci dent hypothesis , all of which , in the ab sence of any facts on which to base a reasonable opinion , were decidedly unsatls fectcry . At the White House , the presi dent spent the evening until"
Undecided/Unclear,,,,,,,"rned over to the officer left in command . Not having full informa tion , I can not express any opinion on the disaster . '' Indianapolis , Ind. , Feb. 16 Rear Admiral George Brown , who was tho high"
,,,Undecided/Unclear,,,,"ound impression at the capltol . Senators and members of the house , as a rule , ex pressed the opinion for publication that the catastrophe was the result of accident , and not of design , but there"
,,,Attack,,,,"ffect that the affair looked very mysterious and doubtful . As a rule , senators ex pressed the opinion that the department would and should make thorough Investiga tion and ad Mine or topcdo , cause"
Undecided/Unclear,,,,,,,"ps . '' It thinks the theory -that the boilers `` burst absurd , and , after expressing the t , opinion that there is no apparent Justlflca- - tion of foul play , it suggests that some `` new and dan"
Attack,,,,,,,"editorially : `` The , '' suspicion of Spanish treachery exhibited by - a section , of American opinion looks ill beside the accounts of the splendid- gallan- try of the suspects in saving drowning A"
Accident,,,,,,,"t here yesterday , tho divers have not et made any Investigation of tho wreck , and the general opinion expressed In Span ish circles is that the explosion occurred inside the Maine . Washington , Fe"
,,Attack,,,,,"etary Long positively denies that Captain SIgsbce has in any suppressed tel egram expressed the opinion that a torpedo caused the disaster , or that it came from an external cause . The captain said"
,,Undecided/Unclear,,,,,"an external cause . The captain said , on the contrary , that he could not enture to express an opinion . The Key West bulletin regarding tho finding of a hole in the bottom of a plate of tho Maine a"
,,,,Undecided/Unclear,,,"a asto the appearance of the wreck or in the conflicting stories of the survivors to change the opinion of the majority of the officers stationed In the navy department that the Maine sunk as the res"
Accident,,,,,,,"an internal explosion . As to the origin of this explosion there Is still a wide differ ence of opinion , but the coal bunker the ory to-day finds very much more strong supporters than any other theo"
,,,,Undecided/Unclear,,,"cabahas .roftrncsi cgraphed Secretary Long from Key West this afternoon as follows : `` In the opinion of Lieutenant John Hood , of the Maine , who has just arrived from Havana , the Maine can never"
,,,,,,Attack,"ive that the ex plosion was caused by one or the other ot these methods . , PHILLIP HICHBORN 'S OPINION . The Well Known Xuval Constructor bas It Could Not Have Been nn Accident . Washington , Feb. 1"
,,Undecided/Unclear,,,,,"aylrig a break between the two governments . '' -CAPTAIN SIGSBEE 'S STORY . Itefaaea to Give an Opinion as to the Canae of the Terrible Dlaaater . Havana , Feb. 17 . Captain Sigsbce , com mander of t"
Undecided/Unclear,,,,,,,"of Minister De Lome . '' There was considerable war talk In Kan sas City esterday , the general opinion be ing that war should be declared if the de struction of the Maine was proved to be officially"
Attack,,,,,,,"if the de struction of the Maine was proved to be officially sanctioned by Spain . The gen eral opinion was that the terrible aftair was not entirely an accident . Dr. LcRoy Dibble , who has an exten"
,,,,,,Attack,"extensive acquaintance with the national charac teristics of the Latin race . Is tirmly of the opinion that the battleship Maine was blown up by design and not by accident . `` If that torpedo was f"
Accident,,,,,,,"tion of design . Therefore , my impres sion has been nil along , and I rather think the general opinion preponderates In the same direction , that It must have been ac cidental . `` At the cabinet me"
Suspend Opinion,,,,,,,"n we face the awful calamity that has overtaken us , when we should retain any expression of an opinion , or our belief as to how this awful disaster was brought about until in a proper , regu lar an"
